submission_date,state,tot_cases,new_case,tot_death,created_at
2021-09-01T00:00:00.000,AZ,1016663,4740.0,18853,2021-09-02T13:49:05.431
2020-08-27T00:00:00.000,AZ,200218,681.0,4929,2020-08-28T13:43:49.392
2020-07-29T00:00:00.000,AZ,168323,2340.0,3454,2020-07-30T14:42:43.801
2020-12-30T00:00:00.000,AZ,512838,5270.0,8718,2020-12-31T14:55:07.623
2020-06-14T00:00:00.000,AZ,35696,1234.0,1186,2020-06-15T14:33:03.950
2021-03-05T00:00:00.000,AZ,824009,2276.0,16269,2021-03-06T15:08:48.630
2020-06-24T00:00:00.000,AZ,58202,9.0,1463,2020-06-25T14:07:27.526
2020-08-08T00:00:00.000,AZ,186167,1055.0,4137,2020-08-09T14:03:10.892
2020-05-01T00:00:00.000,AZ,7962,314.0,330,2020-05-02T15:47:19.352
2020-06-17T00:00:00.000,AZ,40932,1828.0,1239,2020-06-18T17:16:14.582
2020-06-20T00:00:00.000,AZ,49809,3110.0,1338,2020-06-21T14:32:57.913
2021-03-26T00:00:00.000,AZ,839183,571.0,16898,2021-03-27T14:01:18.802
2021-01-16T00:00:00.000,AZ,667301,8718.0,11248,2021-01-17T15:43:14.832
2020-12-31T00:00:00.000,AZ,520559,7721.0,8864,2021-01-01T14:49:07.256
2021-01-15T00:00:00.000,AZ,658583,9149.0,11040,2021-01-16T14:46:10.803
2021-07-09T00:00:00.000,AZ,899829,921.0,18009,2021-07-10T14:17:36.847
2020-07-10T00:00:00.000,AZ,116923,4222.0,2082,2020-07-11T18:25:05.541
2021-02-22T00:00:00.000,AZ,809985,1510.0,15502,2021-02-23T14:51:13.218
2021-08-12T00:00:00.000,AZ,955767,2970.0,18412,2021-08-13T13:45:25.506
2020-05-26T00:00:00.000,AZ,16783,222.0,807,2020-05-27T15:37:59.621
2021-07-11T00:00:00.000,AZ,901439,803.0,18033,2021-07-12T14:22:55.239
2021-02-19T00:00:00.000,AZ,804618,1921.0,15421,2021-02-20T14:45:37.694
2020-04-16T00:00:00.000,AZ,4234,272.0,150,2020-04-16T16:22:39.452
2021-01-05T00:00:00.000,AZ,567841,5935.0,9317,2021-01-06T14:58:26.308
2020-11-22T00:00:00.000,AZ,299900,4334.0,6464,2020-11-23T15:04:35.152
2020-11-04T00:00:00.000,AZ,250814,818.0,6059,2020-11-05T14:39:23.079
2020-07-06T00:00:00.000,AZ,101468,3353.0,1810,2020-07-07T14:58:02.598
2020-07-13T00:00:00.000,AZ,123858,1358.0,2245,2020-07-14T15:13:07.425
2021-01-04T00:00:00.000,AZ,561906,5161.0,9064,2021-01-05T15:00:42.894
2020-06-05T00:00:00.000,AZ,24332,1579.0,1012,2020-06-06T14:31:37.908
2020-11-07T00:00:00.000,AZ,257529,2578.0,6147,2020-11-08T14:40:34.096
2021-08-13T00:00:00.000,AZ,958992,3225.0,18435,2021-08-14T14:46:52.851
2020-12-05T00:00:00.000,AZ,359174,6802.0,6925,2020-12-06T14:51:16.617
2021-03-22T00:00:00.000,AZ,837362,484.0,16745,2021-03-23T14:05:18.025
2021-03-02T00:00:00.000,AZ,819295,849.0,16060,2021-03-03T15:20:17.644
2020-02-05T00:00:00.000,AZ,1,0.0,0,2020-03-26T16:22:39.452
2020-04-04T00:00:00.000,AZ,2019,250.0,52,2020-04-03T16:22:39.452
2021-08-30T00:00:00.000,AZ,1011101,3247.0,18787,2021-08-31T14:57:22.851
2021-02-15T00:00:00.000,AZ,799098,1341.0,14978,2021-02-16T14:53:06.974
2020-01-25T00:00:00.000,AZ,0,0.0,0,2020-03-26T16:22:39.452
2020-07-12T00:00:00.000,AZ,122500,2538.0,2237,2020-07-13T15:19:34.972
2020-08-05T00:00:00.000,AZ,182260,1699.0,3932,2020-08-06T14:12:27.571
2020-02-09T00:00:00.000,AZ,1,0.0,0,2020-03-26T16:22:39.452
2021-01-30T00:00:00.000,AZ,753821,5122.0,13098,2021-01-31T14:48:12.513
2020-10-01T00:00:00.000,AZ,219326,706.0,5674,2020-10-02T13:40:08.052
2020-04-09T00:00:00.000,AZ,3018,292.0,89,2020-04-08T16:22:39.452
2020-08-15T00:00:00.000,AZ,192654,867.0,4492,2020-08-16T14:57:14.578
2020-05-22T00:00:00.000,AZ,15608,293.0,775,2020-05-23T17:58:16.000
2020-12-16T00:00:00.000,AZ,429526,4840.0,7530,2020-12-17T14:33:42.543
2020-04-06T00:00:00.000,AZ,2456,187.0,65,2020-04-05T16:22:39.452
2021-03-24T00:00:00.000,AZ,838474,605.0,16842,2021-03-25T14:25:23.209
2021-02-11T00:00:00.000,AZ,791584,1864.0,14662,2021-02-12T14:56:38.403
2021-07-20T00:00:00.000,AZ,910436,1154.0,18117,2021-07-21T14:18:34.888
2021-07-17T00:00:00.000,AZ,907268,1152.0,18114,2021-07-19T13:20:07.101
2021-03-14T00:00:00.000,AZ,833368,649.0,16553,2021-03-15T14:03:45.324
2021-09-19T00:00:00.000,AZ,1066803,2457.0,19513,2021-09-20T13:47:59.611
2020-11-02T00:00:00.000,AZ,248314,669.0,5982,2020-11-03T14:57:05.887
2021-03-27T00:00:00.000,AZ,839959,776.0,16912,2021-03-28T13:52:27.652
2021-08-08T00:00:00.000,AZ,946054,2639.0,18388,2021-08-09T14:44:15.398
2021-06-20T00:00:00.000,AZ,889727,464.0,17843,2021-06-21T16:43:32.594
2020-02-18T00:00:00.000,AZ,1,0.0,0,2020-03-26T16:22:39.452
2020-09-25T00:00:00.000,AZ,216475,516.0,5587,2020-09-26T13:46:07.689
2021-07-05T00:00:00.000,AZ,897010,50.0,17979,2021-07-06T13:52:24.339
2020-03-18T00:00:00.000,AZ,27,9.0,0,2020-03-26T16:22:39.452
